_,Temperature,Humidity,Altitude,Press,Nitrogen,CO2,VOC
,29.995323181152344,46.04010009765625,44,100805.8359375,12,502,15
,29.995323181152344,45.910400390625,45,100794.0390625,10,502,15
,30.01677703857422,45.85699462890625,42,100829.4375,8,480,12
,30.00605010986328,45.8341064453125,42,100829.4375,11,487,13
,29.995323181152344,45.78070068359375,46,100782.234375,9,508,16
,30.00605010986328,45.727294921875,43,100817.6328125,11,447,7
,30.00605010986328,45.64337158203125,44,100805.8359375,7,400,0
,30.01677703857422,45.5594482421875,45,100794.0390625,7,400,0
,30.01677703857422,45.3916015625,42,100829.4375,5,400,0
,30.01677703857422,45.32293701171875,42,100829.4375,6,403,0
,30.00605010986328,45.3458251953125,43,100817.6328125,8,443,6
,30.01677703857422,45.3458251953125,44,100805.8359375,5,592,29
,30.01677703857422,45.33819580078125,44,100805.8359375,6,810,62
,30.027503967285156,45.08642578125,44,100805.8359375,10,832,65
,30.038230895996094,44.94146728515625,45,100794.0390625,4,853,69
,30.027503967285156,44.91094970703125,42,100829.4375,8,951,83
,30.027503967285156,44.91094970703125,43,100817.6328125,7,961,85
,30.0489501953125,45.01776123046875,44,100805.8359375,5,633,35
,30.038230895996094,45.0101318359375,46,100782.234375,8,472,10
,30.038230895996094,45.025390625,46,100782.234375,7,702,46
,30.0489501953125,45.04827880859375,42,100829.4375,4,887,74
,30.0489501953125,44.9490966796875,46,100782.234375,8,865,70
,30.0489501953125,44.80413818359375,43,100817.6328125,5,626,34
,30.0489501953125,44.72784423828125,43,100817.6328125,8,400,0
,30.0489501953125,44.3997802734375,44,100805.8359375,6,400,0
,30.0489501953125,44.39215087890625,46,100782.234375,9,400,0
,30.0489501953125,44.43792724609375,42,100829.4375,8,400,0
,30.070404052734375,44.48370361328125,43,100817.6328125,4,445,6
,30.059677124023438,44.5218505859375,43,100817.6328125,7,580,27
,30.059677124023438,44.54473876953125,43,100817.6328125,4,740,51
,30.070404052734375,44.54473876953125,44,100805.8359375,6,765,55
,30.070404052734375,44.506591796875,45,100794.0390625,6,748,53
,30.070404052734375,44.40740966796875,42,100829.4375,3,765,55
,30.081130981445312,44.13275146484375,42,100829.4375,8,643,37
,30.081130981445312,44.04119873046875,43,100817.6328125,6,692,44
,30.09185028076172,43.11041259765625,42,100829.4375,4,0,0
,30.09185028076172,43.09515380859375,44,100805.8359375,2,400,0
,30.113304138183594,43.20196533203125,44,100805.8359375,5,615,32
,30.102577209472656,43.2095947265625,45,100794.0390625,4,623,33
,30.102577209472656,43.2095947265625,42,100829.4375,3,418,2
,30.113304138183594,43.23248291015625,43,100817.6328125,4,400,0
,30.113304138183594,43.2095947265625,43,100817.6328125,5,548,22
,30.12403106689453,43.17144775390625,43,100817.6328125,3,770,56
,30.12403106689453,43.13330078125,44,100805.8359375,5,840,67
,30.12403106689453,43.102783203125,45,100794.0390625,4,920,79
,30.134750366210938,43.072265625,46,100782.234375,3,853,69
,30.113304138183594,43.072265625,43,100817.6328125,3,692,44
,30.134750366210938,43.0570068359375,43,100817.6328125,8,524,18
,30.134750366210938,43.0264892578125,44,100805.8359375,1,447,7
,30.134750366210938,43.041748046875,44,100805.8359375,8,427,4
,30.145477294921875,43.102783203125,45,100794.0390625,8,514,17
,30.156204223632812,43.1180419921875,45,100794.0390625,8,692,44
,30.145477294921875,43.102783203125,42,100829.4375,8,708,46
,30.16693115234375,43.07989501953125,43,100817.6328125,6,793,59
,30.16693115234375,43.072265625,44,100805.8359375,8,700,45
,30.177650451660156,43.0570068359375,45,100794.0390625,5,765,55
,30.177650451660156,43.0570068359375,42,100829.4375,4,832,65
,30.188377380371094,43.06463623046875,42,100829.4375,1,1093,105
,30.188377380371094,43.041748046875,46,100782.234375,6,956,84
,30.177650451660156,43.01885986328125,43,100817.6328125,8,956,84
,30.20983123779297,42.9959716796875,44,100805.8359375,4,1093,105
,30.20983123779297,42.97308349609375,44,100805.8359375,5,1204,122
,30.220550537109375,42.94256591796875,46,100782.234375,6,1307,138
,30.231277465820312,42.919677734375,42,100829.4375,4,1324,140
,30.231277465820312,42.89678955078125,43,100817.6328125,5,1128,110
,30.252731323242188,42.8739013671875,44,100805.8359375,7,1053,99
,30.263450622558594,42.83575439453125,44,100805.8359375,5,1053,99
,30.263450622558594,42.76708984375,44,100805.8359375,6,891,74
,30.27417755126953,42.72894287109375,45,100794.0390625,9,694,44
,30.27417755126953,42.69842529296875,42,100829.4375,7,581,27
,30.295631408691406,42.68316650390625,43,100817.6328125,9,478,11
,30.28490447998047,42.6602783203125,43,100817.6328125,5,575,26
,30.295631408691406,42.6297607421875,45,100794.0390625,5,500,15
,30.295631408691406,42.62213134765625,46,100782.234375,7,569,25
,30.31707763671875,42.60687255859375,42,100829.4375,1,549,22
,30.306358337402344,42.57635498046875,46,100782.234375,7,526,19
,30.327804565429688,42.5687255859375,43,100817.6328125,7,624,34
,30.338531494140625,42.56109619140625,43,100817.6328125,5,617,33
,30.327804565429688,42.5382080078125,44,100805.8359375,7,686,43
,30.338531494140625,42.5382080078125,46,100782.234375,3,733,50
,30.349258422851562,42.52294921875,42,100829.4375,5,717,48
,30.35997772216797,42.51531982421875,43,100817.6328125,4,749,53
,30.35997772216797,42.48480224609375,44,100805.8359375,3,631,35
,30.381431579589844,42.3551025390625,43,100817.6328125,8,596,29
,30.381431579589844,42.11859130859375,44,100805.8359375,8,401,0
,30.402877807617188,42.04229736328125,45,100794.0390625,5,400,0
,30.413604736328125,42.0499267578125,42,100829.4375,3,400,0
,30.43505859375,42.05755615234375,42,100829.4375,10,400,0
,30.445777893066406,41.9888916015625,43,100817.6328125,7,400,0
,30.46723175048828,41.882080078125,45,100794.0390625,3,400,0
,30.456504821777344,41.7142333984375,46,100782.234375,3,400,0
,30.47795867919922,41.576904296875,45,100794.0390625,6,409,1
,30.5101318359375,41.5616455078125,46,100782.234375,6,423,3
,30.520858764648438,41.55401611328125,42,100829.4375,2,599,30
,30.520858764648438,41.515869140625,43,100817.6328125,4,498,14
